,question,answer,ref,doc_id,dial_id
113,will you tell a motorist if i search their records?,yes. records of searches are public records,"[{'sp_id': '59', 'label': 'solution'}, {'sp_id': '60', 'label': 'solution'}]",DIAL-IN search accounts#3_0,cdb19fb9f4c07a21b59ef981132040ad
483,How do I request to update to the REAL ID if I have just moved to a new address and need to replace my licenses anyway? ,"If you have recently moved, you need to first change your address and then order the replacement card.","[{'sp_id': '125', 'label': 'solution'}, {'sp_id': '126', 'label': 'solution'}, {'sp_id': '127', 'label': 'solution'}]",Replace license or permit#1_0,0900dc4d8dd22fea23ddc5a84b0dfcb8
2042,"can you give me details of Pay insurance lapse civil penalty
",Your Suspension Order from the DMV shows how much you must pay . The amount depends on how long you did not have insurance coverage . Your payment is calculated based on the following table,"[{'sp_id': '30', 'label': 'solution'}, {'sp_id': '31', 'label': 'solution'}, {'sp_id': '32', 'label': 'solution'}]",Pay insurance lapse civil penalty#1_0,513319640be998aeecace61a38f95430
2115,"Yes, I would like to get one.","Alright. You need to know that you can get a personalized plate for passenger, commercial vehicles and motorcycles.","[{'sp_id': '3', 'label': 'solution'}]",Order personalized plates#1_0,c1a4cbc482f5e6d6d19caba91b065233
2918,If I have a previous alcohol-related driving conviction," your license will be revoked for at least one year or until the age of 21 , whichever is longer .","[{'sp_id': '16', 'label': 'solution'}]",Tickets received in another state#3_0,3135fc2dd83399b9157bec1b231a1a02
2669,"Hey, how you doing?. I heard that you can get your veteran status printed on your license. How come?","Indeed, you can have that. All you need to do is to provide proofs that you has been honorably discharged. You can use Form DD-214 from U.S. Department of Defense.","[{'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}, {'sp_id': '10', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,4b9c78922591be8d2a4a0341d0c131ad
2962,Yes,apply for a Class D driver's license?,"[{'sp_id': '80', 'label': 'precondition'}]",Get a driver license#1_0,cdc220538442a011edcd39f4bb1849a2
2127,yes I would,"Okay, you can order personalized plates for passenger vehicles, commercial vehicles and motorcycles.","[{'sp_id': '3', 'label': 'solution'}]",Order personalized plates#1_0,26c9f548815631b5f4eee7744638e7a2
787,how do i pay for addtional tests?,you can pay additional tests online or by phone.,"[{'sp_id': '71', 'label': 'precondition'}]",Schedule and take a road test#1_0,b5818642ef241562bd4d89ae2f3d292b
3588,and what are the requirements to drive in the state of new york?,"should
   be at least 16 years old 1 and have a valid New York State driver's license or learner's permit","[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Driving in New York State#3_0,a47fe2f297240ca9b3f9a9573131ff5f
2106,Si su registro expira dentro de los próximos 60 días?,renew your registration before you order personalized plates. Change your address online before ordering personalized plates.,"[{'sp_id': '67', 'label': 'solution'}, {'sp_id': '68', 'label': 'solution'}, {'sp_id': '69', 'label': 'solution'}]",Order personalized plates#1_0,c863d2f82130a1681160a559d6286b24
3328,Can you explain again what a test report from this year looks like?,Sure. The vision care professional marks a box on the form to indicate if the form is valid for 6 months or for 12 months after the date of the eye test.,"[{'sp_id': '79', 'label': 'solution'}]",Vision requirements & restrictions#3_0,2315b7caef99c9b2fdd4a0dd718187e5
3348,do not,"you want to know how can you find the unloaded weight of your truck?
Enviar comentarios
Historial
Guardadas
Comunidad
","[{'sp_id': '22', 'label': 'precondition'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,8299bfaed5aab6383c40b83f5d0ac9c0
3464,I bought my atv out of state and paid the sales tax there. Will I qualify for some sort of credit towards the payment of the New York State sales tax?,"Yes. You can apply for a credit when you apply for registration in New York. However, you can only be eligible for this credit if New York and the state where you paid sales tax have a reciprocal sales tax agreement. ","[{'sp_id': '77', 'label': 'solution'}, {'sp_id': '78', 'label': 'solution'}]",Register an ATV#1_0,f8705f3661db38ae0e0565275bee3411
2610,I would be mailed the license if I have a CDL 7 commercial driver's license...,not. and A final suspension lasts until your suspension period ends.,"[{'sp_id': '40', 'label': 'solution'}]",Pay suspension termination fee#1_0,bae59933b8370586071a065fa2f267d3
1879,Yes,"If the complaint is not resolved with the CSR, the case will be sent to an AFI Automotive Facilities Inspector for a formal investigation.","[{'sp_id': '21', 'label': 'solution'}, {'sp_id': '22', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,40da070f4e8827b11d39f4be46e74803
4024,What if I accumulate 11 or more points in 18 months?,"You will be called to a DMV hearing, after which your license can be suspended or revoked. You will be offered the option to either waive the hearing or accept a defined period of suspension.","[{'sp_id': '102', 'label': 'solution'}, {'sp_id': '103', 'label': 'solution'}]",Point & Insurance Reduction Program#3_0,1cc6bffefdebd3c662dab3b3f3cc1f9a
4125,Yes,You cannot change the name on the vehicle registration or title certificate to someone else's name. You must transfer ownership of the vehicle.,"[{'sp_id': '32', 'label': 'solution'}, {'sp_id': '33', 'label': 'solution'}]",Buy or sell a vehicle (transfer ownership)#3_0,0d073d79dfa7f3ce8fd7ac3779631b53
3189,Hello I need information about what to bring to the DMV office?,Bring,"[{'sp_id': '21', 'label': 'solution'}]",Change name on title after lease buyout#3_0,41b339d31c9aa4fb9b3b7d3b4f21332d
2944,What happens if there is any previous alcohol or drugs related driving violation?,"Will be the same. Your license will be revoked for at least a year or until the age of 21, whichever is longer.","[{'sp_id': '16', 'label': 'solution'}]",Tickets received in another state#3_0,90c105446848fb9eb9aee4b856bab3ab
3973,"If have the chance, I can pay the whole debt? ","Yes, you can do it if you want to, you would have to pay $350 too, as additional assessments.","[{'sp_id': '101', 'label': 'solution'}, {'sp_id': '102', 'label': 'solution'}, {'sp_id': '103', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,8016202ed212f5c7760a34e6fdc6284c
1279,What is your mail adress?,"For Consumer & Facility Services Application: NYS DMV Bureau of Consumer & Facility Services Application Unit P.O.s  Box 2700 Albany ,s NY 12220 - 0700","[{'sp_id': '5', 'label': 'solution'}, {'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Amend or replace a business license for a repair or body shop#3_0,07849747e122d41f39d1ed25467a2c2d
3383,I see. And what should I do if my pick-up is leased?,Then you must submit a certification form provided by the leasing company or owner of the pick-up truck which states that the truck will not be used for commercial purposes.,"[{'sp_id': '48', 'label': 'solution'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,cbdd9a0a1f01c3b1241096ec869857ae
2119,Great. Do I have to go to the dmv office for this process?,"Not really, you can save time and do this faster and easier through the online service.","[{'sp_id': '44', 'label': 'solution'}, {'sp_id': '45', 'label': 'solution'}]",Order personalized plates#1_0,c1a4cbc482f5e6d6d19caba91b065233
1135,Do I need to turn in in to DMV?,Do you have these documents available?,"[{'sp_id': '7', 'label': 'precondition'}]",If a family member has died#3_0,24f9541d7765b253c06caaeec7a6765d
629,"Hello, I have some questions about vehicle recovering.",Has your vehicle been recently recovered?,"[{'sp_id': '35', 'label': 'precondition'}]",Stolen and recovered vehicles#3_0,99de2f5eb877c6abb1be8e01e7577fb2
348,I am under 18,"As you are under 18 years of age, you must have a minimum of 50 hours supervised driving practice before you are eligible to take the road test ","[{'sp_id': '39', 'label': 'solution'}, {'sp_id': '40', 'label': 'solution'}]",Prepare for your road test#3_0,ac7167a18e5c58b1e23f104a99efd2a2
2400,"yes , so what happens next",The Bureau of Driver Training Programs will issue a Driving School Instructor Certificate and mail it to the driving school where you are employed.,"[{'sp_id': '76', 'label': 'solution'}]",Become a driving school instructor#3_0,2c141b49331c8ec718bad2551822df40
2659,and why is my document not improved?,"If your license or permit was issued before October 30, 2017 and is not Enhanced, you have a Standard document.","[{'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,a9df90d69cc427070dac0569cbe4345f
1573,How can I learn about lowering my insurance premium?,You can check with your insurance agent if you have a young driver.,"[{'sp_id': '21', 'label': 'solution'}]",How insurance premium reduction works#3_0,1374d8379eef8d697d27fe9ba98bd36c
3566,if i become a NY resident what license should i get?, you become a New York State resident?,"[{'sp_id': '13', 'label': 'precondition'}]",Driving in New York State#3_0,24c3f9db6d15cc80b87a5687bfa69490
2891,there would be any problem if my insurance company doesn't verify all the information I provide?,"Yes, there will be. If that happens, your driver license and/or vehicle registration will be or will remain suspender or revoked.","[{'sp_id': '31', 'label': 'solution'}]",Provide proof of insurance#1_0,17fed7e81b7c4cf9d3919e9d62d76f1d
985,Yes,In that case you have to pay both the registration and vehicle plate fees,"[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Estimate registration fees and taxes#1_0,2d27ff1f6f4c80e6b1b0b357569cbdd3
4123," In general, when transferring ownership", The seller must either,"[{'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}, {'sp_id': '13', 'label': 'solution'}]",Buy or sell a vehicle (transfer ownership)#3_0,fceddfa914973c11dfeffa716db89a76
1431,What are the criteria for if the vehicle needs a OBDII inspection versus the emissions inspection?,"If the vehicle weighs less than 8501 pounds, and was made in 1997 or newer, these get the OBDII and not the emissions inspection. ","[{'sp_id': '11', 'label': 'solution'}]",Diesel inspections emission testing#3_0,e78805bd66070c7aa45778a9afcc550b
3603,Does my vehicle need to be authorized for TNC use?, Not by DMV. But TNC companies may have requirements on the vehicles they allow ,"[{'sp_id': '12', 'label': 'solution'}, {'sp_id': '13', 'label': 'solution'}]",FAQ for TNC Drivers#3_0,05d46e411a1b32505d3f90220f80b15e
2085,For what kind of vehicles can't I replace registration documents online?,"You can't replace registration documents online for vehicles older than model year 1973, boats, snowmobiles or all-terrain vehicles (ATVs).","[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",How to replace a registration#1_0,65fac938fb9ba3fb82c8b48b7391326f
916,Why would someone have to have an ignition interlock device?,They may be ordered for people with a history of alcohol-related violations.,"[{'sp_id': '47', 'label': 'precondition'}]",About problem driver restrictions#3_0,c3ecba2a2657ea5a05aee214bd9ac881
3959,"Yes, that would be more convenient for me.","Excellent. To send your payment by mail, you will have to send the minimum amount required on your DRA statement before the payment date.","[{'sp_id': '47', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,ac49af082398d64eb8fc5f602fa07e40
635,"Yeah, it was stolen about a week ago.","Sorry about that. In first, and in case you hasn't done it yet, you must report the stolen vehicle to the police and your insurance company asap. With your report, the police will enter your car's information on the national and state auto theft records. Besides, a theft status will be added on your vehicle title record, for preventing any sale or title application.","[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Stolen and recovered vehicles#3_0,7fd370d7621ba8f73ed9f2f4bdaa9abb
3389,What are the camping equipment that is installed behind the driver?," ' camping equipment ' indicates that you have a permanent bed , a permanent stove , or a permanent refrigerator in the vehicle","[{'sp_id': '43', 'label': 'solution'}]",Vehicle modifications and registration class#3_0,c71816b26e57605e94ac160bf29ba72f
447,"Hi, I recently bought a vehicle at a marshal auction. Could you tell me about any fees I will have to pay?","Fees are determined by the vehicle's weight and your place of residence. If it's a first time registration, then there will be additional costs like sales tax.","[{'sp_id': '40', 'label': 'solution'}, {'sp_id': '41', 'label': 'solution'}, {'sp_id': '42', 'label': 'solution'}]",Register a vehicle I bought at a sheriff or marshal auction#3_0,fcf4c0bd06c8bbda9e0c97d9b4999da0
620,When is it mandatory to have an escort driver certification?,It's mandatory if you escort over-dimensional loads on any NY State highway or if you act as a flag person for over-dimensional loads.,"[{'sp_id': '3', 'label': 'solution'}]",Escort driver certification#1_0,8166fb1d3a963d965e07bfbf427e5633
3639,"Tell about a TNC, please","TNC stands for Transportation Network Company, a term defined in a recently enacted part of the State Vehicle and Traffic Law. A TNC is a business, also known as a ""rideshare company,"" licensed by the DMV to use a digital network to connect passengers with TNC drivers for preset trips.","[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}]",FAQ for TNC Drivers#3_0,d9ba2eb09d71a889c6d53b28abc2ce07
3115,What do I have to do to pass the test? Can I repeat it?,You must answer 80 % or more of the questions correctly to pass the test. You can take the test as many times as necessary until you pass the test.,"[{'sp_id': '61', 'label': 'solution'}, {'sp_id': '62', 'label': 'solution'}, {'sp_id': '63', 'label': 'solution'}]",Get a  hazardous materials (HazMat) endorsement#3_0,93deb1850720032c3c48a8da990c2cf3
2274,and a question can I hide my photo in the license?,"This can be a driver's license or other government issued photo identification card, you can hide your photo or 6 identification points.","[{'sp_id': '58', 'label': 'solution'}, {'sp_id': '59', 'label': 'solution'}, {'sp_id': '60', 'label': 'solution'}]",How to get my own driving record (abstract)#1_0,6a17c01be7824ffafea7177326337cc1
1334,Can I drive my ATV on private owned land?,You can drive your ATV on private owned land with permission from the owner.,"[{'sp_id': '136', 'label': 'solution'}, {'sp_id': '137', 'label': 'solution'}]",ATVs: Information for Owners and Operators#3_0,f15d234d0915ce8e18daad5ba988713e
286,Can I get a refund for the first year of my registration after receiving a refund for the second year?,"Yes, but only if you have the unused registration sticker and stub. If so, then you are eligible for the refund of the first year of the registration. You have a maximum of 60 days after the date the registration was made to apply for a refund for the first year of the registration fee.","[{'sp_id': '43', 'label': 'solution'}, {'sp_id': '44', 'label': 'solution'}]",Refunds and transfer credits for surrendered plates#3_0,893d68b9d383dae403c76d50be8592e1
2705,Do the Class M and MJ fare support the Motorcycle Safety Program?,Yes. Part of the Class M and MJ fee supports the Motorcycle Safety Program in New York State.,"[{'sp_id': '29', 'label': 'solution'}]",Driver license and learner permit fees and refunds#3_0,d25afe9bdd1861cb4ff483b547b9aeb9
3552,"Yes, that'd be very helpful.","To change the address on your license, permit, non-driver ID and/or registration, you will need the ID number and document number from your New York State driver license and learner permit.","[{'sp_id': '14', 'label': 'solution'}, {'sp_id': '15', 'label': 'solution'}, {'sp_id': '16', 'label': 'solution'}]",How to change your address#1_0,d1a4b323092f9f153fb651a7894d056b
3124,What happens in a situation where I don't pass the written test or the background checks carried out on me are not satisfactory?,Have you recently been advised that you did not pass the written test or the background checks?,"[{'sp_id': '52', 'label': 'precondition'}]",Get a  hazardous materials (HazMat) endorsement#3_0,4e718f52239539a78e9ed1c5ffad49b6
1473,What is the way to remove the ignition interlock restriction from my driver license?,You have to get a form from your ignition interlock monitor stating that you are no longer required to use the device in your vehicles and take that form to the DMV office to apply for a new document without the restriction.,"[{'sp_id': '31', 'label': 'solution'}, {'sp_id': '32', 'label': 'solution'}]",Leandra's Law & ignition interlock devices#3_0,a597423e1514ffcef2944ca2145f063e
1822,I had some bad work done on my car and now what do I do to fix this?,You should attempt to resolve the issue with the management of the business. Don't forget to keep a written record of all contacts with management in addition to details about the repair. ,"[{'sp_id': '54', 'label': 'solution'}, {'sp_id': '55', 'label': 'solution'}, {'sp_id': '56', 'label': 'solution'}]",Know Your Rights in Auto Repair#3_0,fb793e4bbce0eda49708591b550e920e
3565,and what restrictions are there if you are under 18?,"if you are under 18, the additional restrictions explained in the GDL Graduated Driver License Act and drivers under 18","[{'sp_id': '59', 'label': 'solution'}]",Driving in New York State#3_0,b9071ac0ba818de9a489e8e2a9d53a19
115,Can I use insurance documents from other states?,We can't accept any out-of-state vehicle insurance coverage of any kind.,"[{'sp_id': '46', 'label': 'solution'}]",New York State Insurance Requirements#3_0,b9d3da1f4aba75ee4729d8f91030e16f
1502,Can I print substitute tickets?,"Yes once you provide for one, you can see all.","[{'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}, {'sp_id': '21', 'label': 'solution'}]",Get a copy of a TVB ticket#1_0,14b0253435c1520653fb2bb107a7496a
354,"How can I prepare for my road test?
",First you need to obtain a learner permit and follow the restrictions on when and where you are allowed to drive.,"[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]",Prepare for your road test#3_0,c3b657255212b74ec6e8446dbf9e921e
1240,What happens if the busoiness isn't registered?,There are limits on fines and penalties that can be given to unregistered businesses.,"[{'sp_id': '38', 'label': 'solution'}, {'sp_id': '39', 'label': 'solution'}, {'sp_id': '40', 'label': 'solution'}]",Report a problem with a DMV regulated automotive business#1_0,e300a33598c4fdcccd42175842db4ebf
616,Can I get an escort driver certification at the DMV?,"Yes, you can apply for escort driver certification at a DMV office.","[{'sp_id': '91', 'label': 'solution'}]",Escort driver certification#1_0,8166fb1d3a963d965e07bfbf427e5633
2156,What if I made the payment in another state?,This process can reduce the amount of your New York State sales tax if the State of New York and the other state have a sales tax agreement.,"[{'sp_id': '34', 'label': 'solution'}, {'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}]",Register a leased vehicle#1_0,573a88dde5d8a830e799b41c512888c5
1874,what are my rights,You are entitled to hire an attorney and to bring that attorney to the hearing. The DMV is the petitioner is this case and the complainant may be a witness for the case .,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,0d7214b718a55fe258f180c869fa081e
3139,"No, nothing like that.","Then, could be possible you're interested in knowing what to do in case a complaint is filed against you, then?","[{'sp_id': '3', 'label': 'precondition'}]",A Guide for Facilities:#3_0,a2dd86656a55e7744c73b76a42aa3bd2
3884,Can I get a vehicle registration record abstract for a car in my wife's name?,"Yes, In addition to submitting a Request for DMV Records, you will need to certify that you have a permissible use under the Driver's Privacy Protection Act to see another person's personal information on DMV records.","[{'sp_id': '23', 'label': 'solution'}, {'sp_id': '24', 'label': 'solution'}]",Get a vehicle registration or title record (abstract)#1_0,8c85198e9bc1c95b4672b58c778753c0
2640,Yes,Yes. You can pay up to 10 suspension termination fees in one day.,"[{'sp_id': '33', 'label': 'solution'}, {'sp_id': '34', 'label': 'solution'}]",Pay suspension termination fee#1_0,2e345d5e1c2b595215091ab532b52be1
3932,What do I do if I have to pay for a driver responsibility evaluation?,DMV will send you a statement with the amount you owe. You must pay at least the minimum amount by the payment date or your driver's license will be suspended. You can also pay for the full evaluation.,"[{'sp_id': '28', 'label': 'solution'}, {'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,af4189eedc547031c3f9455f3767d2f4
57,What happens if my insurance lapses?,Your license and registration will be suspended.,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,3314f46cb90d186ba3bc7a024e174c80
3219,I wanted to know how to sign up for alerts,would you like to know more about what you will receive if you sign up?,"[{'sp_id': '2', 'label': 'precondition'}]",Get email and/or text reminders#1_0,497f228917e0263a67c5d293ff9c8bad
3666,"Alright. I have no issues with the emission standards in CA, but what if the MCO does not show compliance?",In that case you or the automobile dealer can certify compliance on a 'Certificate of Emissions Compliance or Exemption' form MV-74.,"[{'sp_id': '26', 'label': 'solution'}]",California emissions standards#3_0,c3ff4c5b631a12755f426e1e7bb36843
3044,"Wow, now that is a great topic. Can you suggest another topic?",Yes. More Info.,"[{'sp_id': '38', 'label': 'solution'}]",Renew a business license or registration#1_0,254a8458d5f253db4437d6bab90cb8cf
4094,can you give me a link to the document guide?,"Yes, I can link you to the Document Guide","[{'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}, {'sp_id': '13', 'label': 'solution'}]",Register an out-of-state vehicle#1_0,e464982f16d71b91625b299b2db82b0c
1743,and in which cases can I not change my license?,"You cannot change your license if it is
    suspended or revoked
    lost or stolen","[{'sp_id': '7', 'label': 'solution'}, {'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}]",Exchange your out-of-state driver license#1_0,157a2c60640df4cc7d766a888168ac40
1261,Yes,You must complete a Statement of Ownership and/or Permission to Use Place of Business pdf VS-19,"[{'sp_id': '12', 'label': 'solution'}]",Amend or replace a business license for a repair or body shop#3_0,f249e2db0fda7508c6330e92b36b1b64
3491,I have received a TVB ticket. Can you please explain what steps I have to take to answer it?,"You can answer most TVB tickets online. You can either schedule a hearing for the traffic ticket, or you can pay the fine and surcharge with your credit card.","[{'sp_id': '5', 'label': 'solution'}, {'sp_id': '6', 'label': 'solution'}, {'sp_id': '7', 'label': 'solution'}]",Tickets received in New York City#3_0,4de51099dd69d6025705ff3d56f1d050
4108,What will I need for ownership transfer at the time of purchase of my new vehicle? ,Are you wanting to register the new vehicle in the state of New York? ,"[{'sp_id': '2', 'label': 'precondition'}]",Buy or sell a vehicle (transfer ownership)#3_0,1cc37c01d21e812f09e41cf072edb432
2881,yes,You can provide proof that you now have insurance online or by mail.,"[{'sp_id': '3', 'label': 'solution'}]",Provide proof of insurance#1_0,4222ca675392365c8f23bc3d738a4498
3010,"Yes, I think I almost don't use it, so I probably will close it.","O.k. no problem, you just need to send a request to close your account by mail, fax or email to the dmv revenue accounts section.","[{'sp_id': '98', 'label': 'solution'}, {'sp_id': '99', 'label': 'solution'}, {'sp_id': '100', 'label': 'solution'}]",Escrow accounts#3_0,e7231f978721698cc8164e54d387d1b6
3988,Not as far as I know.,Do know if the report of the accident was made by police on paper?,"[{'sp_id': '37', 'label': 'precondition'}]",Get an Accident Report#1_0,40b215c13e41e6b589c0f263fa24ff4c
3782,OK. And do I need to keep my voter registration information up to date?,"You do not need to update your voter registration information if your political party preference has changed, or if your name has changed since you last voted.","[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",Voter Registration Application Frequently Asked Questions#1_0,0f2ec90e51ee949a264bc6501b8682bf
2162,How do I find out more information about this topic?,You can view more information about vehicle registrations on our website.,"[{'sp_id': '57', 'label': 'solution'}]",Register a leased vehicle#1_0,cd9989eb38b8b20aff4fcda6e71dcc6f
1673,Are I-PIRP websites safe?,Yes The DMV requires sponsors and their delivery agents to provide secure websites that protect the personal information of those taking the courses.,"[{'sp_id': '80', 'label': 'solution'}, {'sp_id': '81', 'label': 'solution'}]",About online and alternative delivery method courses (I-PIRP/ADM)#3_0,b67f092db5df2583b3a911439411afdc
1987,Yes,"You can check the status of vehicle titles and liens online. Sorry, the service is not available for boat titles.","[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",How to check a title or lien status#1_0,da1560de700a666763b6c2246bd58e02
563,"I would like to get a replacement title certificate, can I do this by mail?",Have you already received documentation regarding the replacement of your title certificate?,"[{'sp_id': '44', 'label': 'precondition'}]",Replace a title certificate#1_0,79b9162e7b53473de410b74cd342aae2
710,How long do I have before I appeal it?,"you have 60 days from the date of the ALJs decision to file the Appeal From DMV Hearing Determination PDF [ 2 ] AA-33A , which must be accompanied by the appropriate filing fee ","[{'sp_id': '54', 'label': 'solution'}]",About complaints and charges for repair and body shops#3_0,0798514c62af253f03ad00e163e27a2b
1794,"I need some guidance with the application process, please. Can you tell me how to apply?","Of course. In order to apply you must submit an Original Facility Application, along with a copy of your complete original sealed and signed Surety Bond.","[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",Open a dealership#3_0,43e72646477e8e6e59ddbfa0fcd9fef0
425,What are the steps involved in getting a motorcycle license?,Your first step is to apply for the motorcycle permit at a DMV office,"[{'sp_id': '9', 'label': 'precondition'}]",Get a motorcycle license#1_0,ac248f89bd3e5c753764c9037135e31c
1101,"Why to Insurance Companies need this information, I can give it to them myself?",If you apply for insurance online you would expect a rate quote within minutes. To do this insurance companies need to have access to your information instantly. To provide this kind of service insurance companies need access to DMV information so a direct pay-per-search service has been provided to companies. They are able to check your driving history and therefore provide you with a quote almost immediately.,"[{'sp_id': '48', 'label': 'solution'}, {'sp_id': '49', 'label': 'solution'}, {'sp_id': '50', 'label': 'solution'}]",Sharing your information#3_0,dd1a6454e50feb5860e438b126b7a12a
1384,can i browse them online?,you can browse our collection of picture plates online,"[{'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}, {'sp_id': '38', 'label': 'solution'}]",Learn about personalized plates#3_0,4b79b155e951ce96bf31c2c6d964994f
650,What if my plates are missing?,"With missing plates, you must bring your copy of the MV-78B form to the DMV office and then apply for new plates and a re-instatement of your registrtion","[{'sp_id': '44', 'label': 'solution'}]",Stolen and recovered vehicles#3_0,7513a48949e4c4cc15c0f522dcd6b916
72,What info would the motorist get when asking if his records were searched?,"As I mentioned before, all the search records are public records.","[{'sp_id': '60', 'label': 'solution'}]",DIAL-IN search accounts#3_0,7acf86eb7c1d60739089bccb3dda9c0e
2685,and who must pay this MCTD Fee,Residents of these counties must pay an MCTD fee from the Metropolitan District of Public Transportation,"[{'sp_id': '10', 'label': 'solution'}]",Driver license and learner permit fees and refunds#3_0,b00fb92670419d78005a45d421dfd2b8
3198,My dealer requested information about removing a lien. Where can he find it?,"See the section ""Remove or add a lienholder from a title"" on our website.","[{'sp_id': '42', 'label': 'solution'}]",Change name on title after lease buyout#3_0,24e713d8f7e5b795a41d7a28891ca33d
1772,What is the procedure for the exchange of licenses at the DMV? ,You will need to pass a vision test or bring a completed Eye Test Report with you.  You will then surrender your old license along with providing proof of identity. ,"[{'sp_id': '24', 'label': 'solution'}]",Exchange your out-of-state driver license#1_0,dcca696608c564c2c26b37e9dcbe6d2f
4130,"Hey, good morning. I'm into a vehicle operation right now and need some information.",Do you need information about any possible name change?,"[{'sp_id': '31', 'label': 'precondition'}]",Buy or sell a vehicle (transfer ownership)#3_0,275f1e5d8a71008b42d58adf9412b829
1880,and what happens when Vehicle Safety starts the hearing process?,"When Vehicle Safety begins the hearing process, you may be offered the opportunity through a ""hearing waiver"" to admit the charges and pay a specific monetary fine and / or accept a suspension.","[{'sp_id': '27', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,40da070f4e8827b11d39f4be46e74803
1012,No I don't think so.,Are you certain that these documents are not available?,"[{'sp_id': '31', 'label': 'precondition'}]",Proof of ownership is not available#3_0,561d2253451d911ad7b4823a88427690
623,No,how do i get certified as an escort vehicle driver. does this apply to you?,"[{'sp_id': '16', 'label': 'precondition'}]",Escort driver certification#1_0,de96f5c9acd6e77e55ee1bfb548ab973
1797,What is a on-site investigation when I am opening a dealership?,Is an automotive facilities inspector coming to inspect your facility?,"[{'sp_id': '63', 'label': 'precondition'}]",Open a dealership#3_0,b3e0f8d4c5c8fcbf0360b4fffe16a1b7
287,"In case the registrant passed away, can I get a refund?","Yes. The refund will be issued to the name of the state. You need to surrender the vehicle plates at DMV office and request a transfer receipt, not a refund receipt.","[{'sp_id': '62', 'label': 'solution'}, {'sp_id': '63', 'label': 'solution'}, {'sp_id': '64', 'label': 'solution'}]",Refunds and transfer credits for surrendered plates#3_0,893d68b9d383dae403c76d50be8592e1
556,What would he need to do update his address?Does he have to communicate with DMV or send them some items to their office? ,"He'll have to go to a DMV office and provide  a completed Application for Duplicate Title PDF MV-902s a proof of identity and $ 20.00 for the replacement fee. Pretty much the same for replacing a title certificate. 
","[{'sp_id': '59', 'label': 'solution'}]",Replace a title certificate#1_0,8fdd20474425a2e6d5df3f57a70cdd4b
2327,"um, i have those already, Think i can submit my application then. It doesn't matter if i don't have a Certificate of Authority, isn't?",Wait. I understand that you don't have a Certificate of Authority?,"[{'sp_id': '29', 'label': 'precondition'}]",Open an inspection station#1_0,0d7be0a945bcd4f96b83906dd7c2ec99
1249,Can I file the complaint?,Submit a vehicle safety complaint report.,"[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}, {'sp_id': '13', 'label': 'solution'}]",Report a problem with a DMV regulated automotive business#1_0,aabd98c763e938e75384fbb16f09c6b9
